time,x,y,z,MF
1.443,2.70,-37.02,-5.52,37.53
1.451,2.76,-37.02,-5.52,37.53
1.460,2.76,-37.02,-5.52,37.53
1.470,2.82,-37.02,-5.52,37.54
1.483,2.88,-36.96,-5.46,37.47
1.499,2.94,-36.96,-5.46,37.48
1.500,2.94,-36.96,-5.40,37.47
1.512,3.00,-36.96,-5.34,37.46
1.520,3.06,-36.96,-5.28,37.46
1.531,3.06,-36.96,-5.22,37.45
1.542,3.12,-36.96,-5.16,37.45
1.551,3.06,-36.96,-5.16,37.44
1.568,3.00,-36.90,-5.16,37.38
1.600,3.00,-36.90,-5.10,37.37
1.602,2.94,-36.90,-5.10,37.37
1.603,2.94,-36.90,-5.10,37.37
1.605,2.94,-36.84,-5.10,37.31
1.623,2.94,-36.84,-5.10,37.31
1.625,2.94,-36.84,-5.10,37.31
1.631,2.94,-36.84,-5.10,37.31
1.639,3.06,-36.84,-5.04,37.31
1.651,3.12,-36.84,-5.04,37.31
1.669,3.18,-36.84,-4.98,37.31
1.672,3.24,-36.78,-4.98,37.26
1.688,3.24,-36.78,-4.92,37.25
1.691,3.30,-36.78,-4.92,37.25
1.704,3.30,-36.84,-4.86,37.31
1.709,3.30,-36.84,-4.86,37.31
1.718,3.24,-36.84,-4.86,37.30
1.729,3.18,-36.84,-4.86,37.30
1.738,3.06,-36.84,-4.92,37.29
1.750,3.00,-36.84,-4.92,37.29
1.766,2.88,-36.84,-4.98,37.29
1.769,2.76,-36.84,-4.98,37.28
1.783,2.64,-36.84,-5.04,37.28
1.789,2.52,-36.84,-5.10,37.28
1.799,2.52,-36.78,-5.10,37.22
1.815,2.46,-36.84,-5.10,37.27
1.820,2.46,-36.84,-5.10,37.27
1.831,2.40,-36.90,-5.16,37.34
1.839,2.40,-36.90,-5.16,37.34
1.852,2.40,-36.90,-5.22,37.34
1.866,2.40,-36.90,-5.28,37.35
1.869,2.40,-36.90,-5.28,37.35
1.896,2.40,-36.84,-5.34,37.30
1.899,2.34,-36.84,-5.40,37.31
1.900,2.34,-36.78,-5.40,37.25
1.919,2.34,-36.72,-5.40,37.19
1.921,2.34,-36.72,-5.40,37.19
1.930,2.34,-36.72,-5.40,37.19
1.937,2.34,-36.78,-5.34,37.24
1.947,2.34,-36.78,-5.28,37.23
1.957,2.34,-36.78,-5.22,37.22
1.970,2.34,-36.84,-5.22,37.28
1.986,2.46,-36.84,-5.16,37.28
1.988,2.58,-36.84,-5.16,37.29
2.000,2.70,-36.84,-5.16,37.30
2.008,2.82,-36.84,-5.10,37.30
2.018,2.94,-36.84,-5.10,37.31
2.033,3.00,-36.84,-5.10,37.31
2.037,3.06,-36.90,-5.10,37.38
2.050,3.12,-36.90,-5.10,37.38
2.057,3.06,-36.90,-5.10,37.38
2.068,3.00,-36.96,-5.10,37.43
2.077,3.00,-36.96,-5.10,37.43
2.097,2.94,-36.96,-5.10,37.43
2.099,2.88,-36.96,-5.10,37.42
2.108,2.88,-36.96,-5.10,37.42
2.122,2.88,-36.96,-5.16,37.43
2.127,2.88,-36.96,-5.16,37.43
