time,x,y,z,MF
0.009,2.52,-36.48,-5.70,37.01
0.014,2.46,-36.54,-5.70,37.06
0.024,2.46,-36.54,-5.70,37.06
0.033,2.46,-36.54,-5.70,37.06
0.043,2.46,-36.60,-5.70,37.12
0.065,2.46,-36.60,-5.76,37.13
0.066,2.46,-36.60,-5.76,37.13
0.096,2.46,-36.60,-5.76,37.13
0.097,2.46,-36.60,-5.76,37.13
0.098,2.46,-36.66,-5.76,37.19
0.105,2.46,-36.66,-5.76,37.19
0.121,2.52,-36.66,-5.76,37.20
0.138,2.58,-36.66,-5.76,37.20
0.139,2.58,-36.66,-5.76,37.20
0.154,2.64,-36.66,-5.76,37.20
0.155,2.70,-36.66,-5.70,37.20
0.172,2.70,-36.66,-5.70,37.20
0.173,2.70,-36.66,-5.70,37.20
0.206,2.70,-36.60,-5.70,37.14
0.207,2.70,-36.66,-5.64,37.19
0.208,2.64,-36.66,-5.64,37.19
0.222,2.58,-36.66,-5.64,37.18
0.223,2.52,-36.66,-5.64,37.18
0.239,2.46,-36.66,-5.64,37.17
0.256,2.40,-36.66,-5.64,37.17
0.257,2.34,-36.66,-5.64,37.17
0.273,2.34,-36.66,-5.64,37.17
0.274,2.28,-36.66,-5.58,37.15
0.305,2.34,-36.66,-5.52,37.15
0.307,2.34,-36.66,-5.46,37.14
0.307,2.34,-36.66,-5.46,37.14
0.313,2.34,-36.66,-5.40,37.13
0.325,2.40,-36.66,-5.34,37.12
0.331,2.40,-36.66,-5.28,37.12
0.342,2.46,-36.66,-5.22,37.11
0.351,2.46,-36.66,-5.22,37.11
0.373,2.52,-36.66,-5.22,37.12
0.375,2.52,-36.66,-5.22,37.12
0.408,2.58,-36.60,-5.22,37.06
0.409,2.58,-36.60,-5.22,37.06
0.409,2.58,-36.60,-5.22,37.06
0.410,2.58,-36.60,-5.28,37.07
0.424,2.52,-36.66,-5.28,37.12
0.441,2.52,-36.66,-5.28,37.12
0.442,2.52,-36.72,-5.34,37.19
0.458,2.46,-36.72,-5.34,37.19
0.475,2.46,-36.72,-5.34,37.19
0.476,2.46,-36.78,-5.34,37.25
0.509,2.46,-36.84,-5.34,37.31
0.511,2.46,-36.84,-5.34,37.31
0.511,2.46,-36.90,-5.34,37.37
0.512,2.46,-36.90,-5.34,37.37
0.525,2.46,-36.90,-5.34,37.37
0.543,2.46,-36.90,-5.34,37.37
0.543,2.46,-36.84,-5.34,37.31
0.560,2.46,-36.84,-5.40,37.31
0.561,2.46,-36.78,-5.40,37.26
0.576,2.52,-36.72,-5.40,37.20
0.616,2.52,-36.66,-5.40,37.14
0.616,2.46,-36.60,-5.34,37.07
0.617,2.46,-36.54,-5.34,37.01
0.618,2.40,-36.54,-5.34,37.01
0.627,2.40,-36.54,-5.34,37.01
0.629,2.34,-36.60,-5.28,37.05
0.639,2.34,-36.66,-5.28,37.11
0.649,2.28,-36.66,-5.28,37.11
0.670,2.28,-36.72,-5.28,37.17
0.672,2.22,-36.72,-5.22,37.16
0.699,2.28,-36.78,-5.22,37.22
0.700,2.28,-36.78,-5.22,37.22
0.701,2.28,-36.84,-5.22,37.28
0.713,2.28,-36.84,-5.22,37.28
0.719,2.28,-36.84,-5.22,37.28
0.730,2.28,-36.84,-5.22,37.28
0.739,2.28,-36.84,-5.22,37.28
0.749,2.34,-36.78,-5.22,37.22
0.759,2.40,-36.84,-5.22,37.29
0.771,2.46,-36.78,-5.16,37.22
0.807,2.46,-36.78,-5.16,37.22
0.808,2.52,-36.78,-5.16,37.23
0.809,2.52,-36.78,-5.16,37.23
0.810,2.58,-36.78,-5.10,37.22
0.818,2.64,-36.78,-5.10,37.23
0.831,2.64,-36.78,-5.10,37.23
0.838,2.64,-36.78,-5.10,37.23
0.848,2.64,-36.84,-5.10,37.28
0.858,2.64,-36.84,-5.10,37.28
0.877,2.64,-36.90,-5.10,37.34
0.878,2.64,-36.96,-5.10,37.40
0.888,2.64,-37.08,-5.10,37.52
0.904,2.64,-37.20,-5.10,37.64
0.908,2.64,-37.32,-5.10,37.76
0.918,2.64,-37.44,-5.10,37.88
0.932,2.64,-37.50,-5.10,37.94
0.937,2.64,-37.56,-5.10,38.00
0.949,2.64,-37.62,-5.10,38.06
0.958,2.64,-37.62,-5.10,38.06
0.972,2.64,-37.56,-5.10,38.00
0.978,2.64,-37.50,-5.16,37.95
1.009,2.70,-37.50,-5.22,37.96
1.010,2.70,-37.50,-5.28,37.97
1.011,2.70,-37.44,-5.34,37.92
1.017,2.70,-37.38,-5.40,37.86
1.027,2.76,-37.32,-5.46,37.82
1.037,2.76,-37.14,-5.52,37.65
1.060,2.76,-37.02,-5.58,37.54
1.061,2.76,-36.90,-5.64,37.43
1.084,2.82,-36.72,-5.64,37.26
1.084,2.82,-36.60,-5.64,37.14
1.086,2.82,-36.48,-5.64,37.02
1.098,2.82,-36.42,-5.64,36.96
1.107,2.82,-36.36,-5.64,36.90
1.117,2.82,-36.42,-5.64,36.96
1.126,2.82,-36.36,-5.64,36.90
1.137,2.76,-36.36,-5.64,36.90
1.147,2.76,-36.36,-5.58,36.89
1.159,2.70,-36.36,-5.58,36.88
1.195,2.64,-36.42,-5.58,36.94
1.196,2.52,-36.42,-5.58,36.93
1.197,2.40,-36.48,-5.58,36.98
1.198,2.28,-36.54,-5.52,37.02
1.206,2.16,-36.60,-5.52,37.08
1.219,2.04,-36.72,-5.46,37.18
1.226,1.92,-36.78,-5.46,37.23
1.236,1.80,-36.90,-5.46,37.35
1.246,1.74,-36.96,-5.46,37.40
1.257,1.74,-37.02,-5.40,37.45
1.285,1.74,-37.08,-5.40,37.51
1.285,1.74,-37.02,-5.40,37.45
1.286,1.74,-37.02,-5.40,37.45
1.296,1.74,-37.02,-5.40,37.45
1.306,1.74,-37.02,-5.40,37.45
1.317,1.74,-37.02,-5.40,37.45
1.325,1.74,-37.02,-5.40,37.45
1.336,1.80,-37.02,-5.40,37.46
1.350,1.86,-37.02,-5.34,37.45
1.377,1.98,-37.02,-5.34,37.46
1.380,1.98,-37.02,-5.34,37.46
