time,x,y,z,MF
0.013,2.70,-37.02,-5.46,37.52
0.014,2.70,-37.02,-5.46,37.52
0.025,2.70,-37.02,-5.46,37.52
0.037,2.70,-37.02,-5.52,37.53
0.055,2.70,-37.02,-5.52,37.53
0.055,2.70,-37.02,-5.52,37.53
0.071,2.70,-37.02,-5.52,37.53
0.072,2.70,-37.02,-5.52,37.53
0.089,2.70,-37.02,-5.52,37.53
0.089,2.70,-37.02,-5.52,37.53
0.108,2.70,-37.02,-5.58,37.54
0.111,2.70,-37.02,-5.58,37.54
0.145,2.70,-37.02,-5.58,37.54
0.148,2.70,-37.02,-5.58,37.54
0.148,2.70,-37.02,-5.58,37.54
0.149,2.82,-37.02,-5.58,37.54
0.176,2.94,-37.02,-5.52,37.54
0.177,3.06,-37.02,-5.52,37.55
0.178,3.12,-36.96,-5.52,37.50
0.190,3.24,-36.96,-5.46,37.50
0.207,3.36,-36.96,-5.46,37.51
0.208,3.42,-36.96,-5.40,37.51
0.235,3.48,-36.96,-5.40,37.51
0.236,3.48,-36.90,-5.34,37.45
0.244,3.36,-36.90,-5.34,37.44
0.259,3.24,-36.96,-5.28,37.48
0.260,3.18,-36.96,-5.28,37.47
0.274,3.06,-37.02,-5.28,37.52
0.291,2.94,-37.02,-5.28,37.51
0.293,2.76,-37.14,-5.28,37.61
0.308,2.64,-37.20,-5.28,37.67
0.309,2.52,-37.26,-5.28,37.72
0.339,2.46,-37.32,-5.28,37.77
0.340,2.40,-37.38,-5.28,37.83
0.340,2.34,-37.44,-5.28,37.88
0.347,2.34,-37.44,-5.28,37.88
0.360,2.40,-37.44,-5.28,37.89
0.366,2.46,-37.44,-5.22,37.88
0.377,2.52,-37.44,-5.22,37.89
0.386,2.58,-37.44,-5.22,37.89
0.409,2.58,-37.38,-5.22,37.83
0.411,2.64,-37.38,-5.22,37.83
0.417,2.70,-37.32,-5.28,37.79
0.438,2.70,-37.26,-5.28,37.73
0.439,2.64,-37.20,-5.28,37.67
0.447,2.64,-37.08,-5.28,37.55
0.457,2.64,-37.08,-5.34,37.56
0.466,2.64,-37.02,-5.34,37.50
0.498,2.64,-36.96,-5.34,37.44
0.500,2.64,-36.96,-5.34,37.44
0.502,2.64,-36.96,-5.34,37.44
0.506,2.64,-36.96,-5.28,37.43
0.538,2.64,-36.90,-5.28,37.37
0.540,2.70,-36.90,-5.28,37.37
0.541,2.70,-36.90,-5.28,37.37
0.551,2.70,-36.90,-5.28,37.37
0.557,2.70,-36.90,-5.22,37.37
0.565,2.70,-36.90,-5.22,37.37
0.599,2.70,-36.90,-5.22,37.37
0.601,2.70,-36.90,-5.28,37.37
0.603,2.70,-36.90,-5.28,37.37
0.606,2.76,-36.90,-5.28,37.38
0.626,2.76,-36.90,-5.28,37.38
0.627,2.76,-36.90,-5.34,37.39
0.636,2.76,-36.90,-5.34,37.39
0.655,2.70,-36.90,-5.40,37.39
0.657,2.70,-36.90,-5.46,37.40
0.667,2.70,-36.90,-5.46,37.40
0.676,2.64,-36.90,-5.52,37.40
0.687,2.58,-36.90,-5.52,37.40
0.711,2.58,-36.90,-5.58,37.41
0.715,2.52,-36.90,-5.52,37.40
0.719,2.52,-36.90,-5.58,37.40
0.726,2.46,-36.90,-5.58,37.40
0.767,2.46,-36.90,-5.58,37.40
0.769,2.40,-36.90,-5.58,37.40
0.770,2.46,-36.90,-5.58,37.40
0.771,2.40,-36.90,-5.58,37.40
0.776,2.40,-36.96,-5.52,37.45
0.785,2.40,-36.96,-5.52,37.45
0.810,2.40,-36.96,-5.52,37.45
0.812,2.40,-37.02,-5.46,37.50
0.838,2.34,-37.08,-5.46,37.55
0.839,2.34,-37.08,-5.40,37.54
0.841,2.28,-37.08,-5.34,37.53
0.844,2.28,-37.08,-5.34,37.53
0.855,2.28,-37.08,-5.28,37.52
0.867,2.28,-37.08,-5.28,37.52
0.875,2.28,-37.08,-5.34,37.53
0.886,2.28,-37.08,-5.34,37.53
0.919,2.28,-37.08,-5.40,37.54
0.922,2.28,-37.08,-5.40,37.54
0.923,2.28,-37.08,-5.46,37.55
0.925,2.28,-37.08,-5.46,37.55
0.962,2.28,-37.08,-5.52,37.56
0.964,2.28,-37.08,-5.52,37.56
0.966,2.34,-37.08,-5.52,37.56
0.967,2.34,-37.08,-5.52,37.56
0.974,2.40,-37.08,-5.52,37.57
0.983,2.40,-37.08,-5.52,37.57
0.994,2.46,-37.08,-5.46,37.56
1.009,2.46,-37.08,-5.46,37.56
1.038,2.46,-37.08,-5.46,37.56
1.040,2.52,-37.08,-5.46,37.56
1.041,2.52,-37.02,-5.40,37.50
1.044,2.52,-37.02,-5.40,37.50
1.054,2.52,-37.02,-5.40,37.50
1.063,2.52,-37.02,-5.40,37.50
1.075,2.52,-37.02,-5.34,37.49
1.102,2.52,-37.02,-5.34,37.49
1.105,2.52,-37.02,-5.28,37.48
1.107,2.46,-37.02,-5.34,37.48
1.114,2.46,-37.02,-5.34,37.48
1.130,2.40,-37.02,-5.34,37.48
1.153,2.40,-36.96,-5.34,37.42
1.156,2.34,-36.96,-5.40,37.43
1.157,2.34,-36.96,-5.40,37.43
1.162,2.34,-36.90,-5.46,37.38
1.173,2.34,-36.90,-5.52,37.38
1.197,2.46,-36.90,-5.52,37.39
1.198,2.52,-36.90,-5.58,37.40
1.202,2.58,-36.90,-5.58,37.41
1.213,2.64,-36.90,-5.64,37.42
1.226,2.70,-36.90,-5.64,37.43
1.235,2.76,-36.90,-5.64,37.43
1.242,2.82,-36.90,-5.64,37.43
1.253,2.82,-36.90,-5.64,37.43
1.262,2.82,-36.90,-5.64,37.43
1.273,2.82,-36.96,-5.64,37.49
1.282,2.82,-36.96,-5.64,37.49
1.302,2.82,-36.96,-5.64,37.49
1.307,2.82,-36.96,-5.64,37.49
1.313,2.82,-36.96,-5.64,37.49
1.343,2.82,-36.96,-5.64,37.49
1.345,2.82,-36.96,-5.64,37.49
1.347,2.82,-36.96,-5.64,37.49
1.355,2.82,-36.96,-5.64,37.49
1.362,2.82,-36.96,-5.64,37.49
1.372,2.88,-36.96,-5.64,37.50
1.383,2.94,-37.02,-5.64,37.56
1.405,3.00,-37.02,-5.64,37.57
1.408,3.00,-37.02,-5.64,37.57
1.412,3.06,-37.08,-5.64,37.63
1.453,3.12,-37.08,-5.64,37.64
1.456,3.12,-37.08,-5.64,37.64
1.458,3.12,-37.08,-5.64,37.64
1.460,3.18,-37.08,-5.64,37.64
1.462,3.06,-37.08,-5.64,37.63
1.474,3.06,-37.08,-5.64,37.63
1.482,3.00,-37.08,-5.64,37.63
1.492,3.00,-37.08,-5.64,37.63
1.501,2.94,-37.08,-5.58,37.61
1.518,2.94,-37.08,-5.58,37.61
1.560,2.88,-37.14,-5.52,37.66
1.561,2.88,-37.08,-5.52,37.60
1.562,2.88,-37.08,-5.46,37.59
1.564,2.88,-37.08,-5.46,37.59
1.566,2.88,-37.08,-5.46,37.59
1.575,2.88,-37.02,-5.46,37.53
1.580,2.88,-37.02,-5.46,37.53
1.593,2.88,-37.02,-5.46,37.53
1.600,2.88,-37.02,-5.46,37.53
1.621,2.88,-37.02,-5.46,37.53
1.623,2.88,-37.02,-5.46,37.53
1.631,2.88,-36.96,-5.46,37.47
1.660,2.88,-36.96,-5.46,37.47
1.662,2.88,-37.02,-5.46,37.53
1.663,2.88,-37.08,-5.46,37.59
1.676,2.88,-37.20,-5.46,37.71
1.679,2.88,-37.26,-5.40,37.76
1.693,2.88,-37.32,-5.34,37.81
1.699,2.88,-37.44,-5.34,37.93
1.725,2.88,-37.50,-5.28,37.98
1.728,2.82,-37.56,-5.22,38.03
1.733,2.76,-37.62,-5.16,38.07
1.755,2.70,-37.68,-5.10,38.12
1.756,2.70,-37.68,-5.10,38.12
1.759,2.58,-37.62,-5.10,38.05
1.769,2.52,-37.62,-5.16,38.06
1.778,2.46,-37.62,-5.22,38.06
1.799,2.46,-37.62,-5.22,38.06
1.800,2.40,-37.62,-5.28,38.06
1.823,2.40,-37.62,-5.28,38.06
1.823,2.40,-37.62,-5.34,38.07
1.828,2.40,-37.62,-5.34,38.07
1.838,2.40,-37.56,-5.34,38.01
1.849,2.40,-37.50,-5.28,37.95
1.858,2.40,-37.50,-5.28,37.95
1.869,2.40,-37.44,-5.28,37.89
1.879,2.40,-37.44,-5.22,37.88
1.889,2.40,-37.44,-5.22,37.88
1.915,2.34,-37.38,-5.22,37.82
1.917,2.34,-37.38,-5.16,37.81
1.919,2.34,-37.38,-5.16,37.81
1.944,2.34,-37.38,-5.16,37.81
1.946,2.34,-37.38,-5.16,37.81
1.949,2.34,-37.38,-5.16,37.81
1.964,2.34,-37.38,-5.22,37.82
1.970,2.34,-37.38,-5.22,37.82
1.982,2.34,-37.32,-5.22,37.76
1.989,2.34,-37.32,-5.22,37.76
1.999,2.34,-37.26,-5.28,37.70
2.023,2.34,-37.26,-5.28,37.70
2.025,2.34,-37.20,-5.28,37.65
2.033,2.34,-37.20,-5.28,37.65
2.038,2.34,-37.20,-5.28,37.65
2.052,2.34,-37.14,-5.28,37.59
2.057,2.34,-37.14,-5.22,37.58
2.068,2.34,-37.14,-5.22,37.58
2.078,2.40,-37.14,-5.22,37.58
2.088,2.40,-37.14,-5.22,37.58
2.101,2.46,-37.14,-5.22,37.59
2.108,2.46,-37.14,-5.22,37.59
2.117,2.52,-37.14,-5.22,37.59
2.134,2.58,-37.20,-5.22,37.65
2.138,2.58,-37.20,-5.28,37.66
2.148,2.58,-37.20,-5.28,37.66
2.157,2.58,-37.26,-5.28,37.72
2.167,2.58,-37.26,-5.22,37.71
2.180,2.58,-37.26,-5.22,37.71
2.187,2.58,-37.26,-5.16,37.70
2.205,2.58,-37.32,-5.16,37.76
2.207,2.58,-37.32,-5.16,37.76
2.242,2.58,-37.32,-5.16,37.76
2.243,2.58,-37.26,-5.10,37.70
2.244,2.58,-37.26,-5.10,37.70
2.254,2.58,-37.26,-5.10,37.70
2.256,2.64,-37.26,-5.10,37.70
2.267,2.64,-37.26,-5.10,37.70
2.276,2.64,-37.26,-5.10,37.70
2.287,2.64,-37.26,-5.10,37.70
2.306,2.64,-37.26,-5.10,37.70
2.308,2.64,-37.26,-5.10,37.70
2.331,2.58,-37.26,-5.10,37.70
2.332,2.58,-37.26,-5.10,37.70
2.336,2.58,-37.26,-5.10,37.70
2.348,2.58,-37.26,-5.10,37.70
2.356,2.58,-37.26,-5.04,37.69
2.368,2.52,-37.26,-5.04,37.68
2.375,2.46,-37.26,-5.04,37.68
2.387,2.40,-37.26,-5.04,37.68
2.417,2.40,-37.26,-5.04,37.68
2.420,2.34,-37.26,-5.04,37.67
2.422,2.28,-37.32,-5.04,37.73
2.427,2.28,-37.32,-5.04,37.73
2.442,2.28,-37.32,-5.04,37.73
2.454,2.34,-37.32,-5.04,37.73
2.456,2.34,-37.38,-5.04,37.79
2.467,2.34,-37.38,-5.04,37.79
2.475,2.34,-37.38,-4.98,37.78
2.486,2.40,-37.38,-4.98,37.79
2.496,2.40,-37.38,-4.92,37.78
2.510,2.40,-37.38,-4.92,37.78
2.553,2.40,-37.44,-4.92,37.84
2.555,2.34,-37.44,-4.92,37.83
2.557,2.22,-37.44,-4.92,37.83
2.558,2.10,-37.44,-4.92,37.82
2.559,1.98,-37.44,-4.92,37.81
2.568,1.86,-37.50,-4.98,37.87
2.575,1.80,-37.50,-4.98,37.87
2.585,1.68,-37.50,-4.98,37.87
2.595,1.62,-37.50,-4.98,37.86
2.619,1.62,-37.50,-4.98,37.86
2.623,1.62,-37.50,-4.98,37.86
2.625,1.68,-37.50,-4.98,37.87
2.637,1.80,-37.50,-5.04,37.88
2.645,1.80,-37.50,-5.04,37.88
2.654,1.86,-37.44,-5.04,37.82
2.668,1.86,-37.44,-5.04,37.82
2.674,1.86,-37.44,-5.10,37.83
2.685,1.92,-37.44,-5.10,37.83
2.694,1.92,-37.44,-5.16,37.84
2.706,1.98,-37.44,-5.22,37.85
2.714,1.98,-37.44,-5.22,37.85
2.735,2.04,-37.44,-5.28,37.87
2.737,2.04,-37.50,-5.28,37.92
2.744,2.10,-37.50,-5.28,37.93
2.766,2.16,-37.50,-5.34,37.94
2.767,2.22,-37.50,-5.34,37.94
2.774,2.22,-37.50,-5.28,37.93
2.784,2.28,-37.50,-5.28,37.94
2.793,2.34,-37.50,-5.28,37.94
2.804,2.40,-37.50,-5.28,37.95
2.813,2.52,-37.50,-5.28,37.95
2.828,2.58,-37.56,-5.28,38.02
2.852,2.64,-37.56,-5.28,38.02
2.854,2.70,-37.56,-5.28,38.03
2.856,2.76,-37.56,-5.22,38.02
2.865,2.82,-37.56,-5.28,38.03
2.873,2.82,-37.56,-5.34,38.04
2.900,2.82,-37.56,-5.40,38.05
2.903,2.82,-37.56,-5.46,38.06
2.905,2.82,-37.62,-5.52,38.13
2.914,2.82,-37.62,-5.52,38.13
2.943,2.82,-37.62,-5.58,38.14
2.945,2.76,-37.62,-5.64,38.14
2.946,2.76,-37.68,-5.70,38.21
2.958,2.76,-37.68,-5.70,38.21
2.964,2.70,-37.68,-5.70,38.20
2.973,2.70,-37.68,-5.70,38.20
2.984,2.64,-37.68,-5.70,38.20
3.000,2.64,-37.62,-5.70,38.14
3.029,2.58,-37.62,-5.70,38.14
3.030,2.58,-37.68,-5.70,38.20
3.031,2.52,-37.68,-5.64,38.18
3.032,2.46,-37.68,-5.64,38.18
3.044,2.40,-37.74,-5.64,38.23
3.057,2.28,-37.74,-5.64,38.23
3.063,2.16,-37.80,-5.64,38.28
3.074,2.04,-37.80,-5.64,38.27
3.083,1.92,-37.86,-5.64,38.33
3.092,1.80,-37.86,-5.64,38.32
3.119,1.74,-37.86,-5.58,38.31
3.138,1.68,-37.86,-5.58,38.31
3.139,1.68,-37.86,-5.58,38.31
3.143,1.80,-37.86,-5.52,38.30
3.145,1.92,-37.86,-5.52,38.31
3.173,2.04,-37.86,-5.46,38.31
3.175,2.10,-37.86,-5.46,38.31
3.176,2.16,-37.86,-5.46,38.31
3.183,2.22,-37.86,-5.46,38.32
3.192,2.28,-37.86,-5.40,38.31
3.202,2.34,-37.86,-5.40,38.31
3.217,2.28,-37.86,-5.40,38.31
3.242,2.22,-37.86,-5.40,38.31
3.244,2.16,-37.92,-5.40,38.36
3.245,2.16,-37.92,-5.40,38.36
3.251,2.16,-37.92,-5.40,38.36
3.263,2.10,-37.92,-5.40,38.36
