40.38963,-11.7,-37.68,8.64,0
40.404465,-11.22,-37.8,8.82,179634208
40.450726,-10.68,-37.92,9.18,359222125
40.479816,-10.14,-37.98,9.66,538911291
40.552055,-9.6,-38.04,10.26,718496750
40.74212,-9.12,-38.16,10.98,898245500
40.88123,-8.58,-38.22,11.7,1077569417
40.76778,-8.52,-38.46,10.5,1257136583
40.50751,-8.64,-38.58,8.82,1436700709
40.340084,-8.82,-38.7,7.2,1616422334
40.23375,-9.3,-38.7,5.88,1795862709
40.2333,-9.72,-38.76,4.68,1975326750
40.232315,-10.26,-38.7,3.96,2154896167
40.26532,-10.92,-38.64,3.0,2334514792
40.355568,-11.64,-38.58,2.16,2513999042
40.2579,-12.24,-38.22,3.18,2693953209
40.45949,-13.2,-37.98,4.5,2873158584
40.60657,-14.4,-37.5,5.94,3052758293
40.70256,-15.42,-37.02,6.96,3232283793
40.807545,-16.38,-36.54,7.86,3411801459
40.90341,-17.22,-36.18,8.22,3591451960
41.04864,-18.0,-35.88,8.58,3771140418
41.147404,-18.72,-35.52,9.0,3950502626
41.176746,-19.14,-35.22,9.42,4130305168
41.16372,-19.2,-35.04,9.9,4309763293
41.21533,-18.9,-35.16,10.26,4489436043
41.32136,-18.48,-35.4,10.62,4668947502
41.497276,-18.0,-35.76,10.92,4848497669
41.55584,-17.34,-36.06,11.22,5028270044
41.533524,-16.44,-36.36,11.52,5207657544
41.433987,-15.36,-36.66,11.7,5387202585
41.30358,-14.1,-36.96,11.88,5566964919
41.17705,-12.72,-37.26,12.06,5746499461
41.057934,-11.52,-37.44,12.3,5925846086
