939, 1018, 319043716
937, 1017, 319045584
939, 1017, 319047456
939, 1018, 319049324
938, 1017, 319051196
939, 1018, 319053064
938, 1017, 319054936
938, 1017, 319056804
940, 1019, 319058676
938, 1018, 319060544
939, 1018, 319062416
940, 1019, 319064284
938, 1017, 319066156
940, 1017, 319068024
940, 1019, 319069896
938, 1018, 319071764
940, 1018, 319073636
938, 1017, 319075504
939, 1017, 319077376
940, 1020, 319079244
939, 1018, 319081116
939, 1018, 319082984
939, 1020, 319084856
937, 1017, 319086724
941, 1019, 319088596
939, 1019, 319090464
939, 1018, 319092336
941, 1018, 319094204
938, 1018, 319096076
939, 1019, 319097944
940, 1019, 319099816
939, 1018, 319101684
940, 1018, 319103556
939, 1019, 319105424
938, 1017, 319107296
940, 1018, 319109164
939, 1019, 319111036
939, 1017, 319112904
940, 1018, 319114776
939, 1018, 319116644
939, 1017, 319118516
940, 1019, 319120392
938, 1018, 319122256
939, 1018, 319124124
939, 1019, 319125996
938, 1017, 319127864
940, 1017, 319129736
939, 1018, 319131604
938, 1017, 319133476
939, 1017, 319135344
938, 1017, 319137216
938, 1016, 319139084
940, 1018, 319140956
938, 1016, 319142824
939, 1016, 319144696
939, 1017, 319146564
936, 1016, 319148436
937, 1016, 319150304
938, 1015, 319152176
938, 1016, 319154044
938, 1016, 319155916
937, 1014, 319157784
936, 1014, 319159656
937, 1015, 319161524
936, 1014, 319163400
935, 1013, 319165264
935, 1013, 319167136
934, 1011, 319169004
932, 1009, 319170876
931, 1006, 319172744
928, 996, 319174528
926, 989, 319176316
917, 984, 319178100
903, 984, 319179884
887, 984, 319181668
876, 983, 319183456
870, 983, 319185240
866, 980, 319187024
865, 980, 319188808
863, 977, 319190596
862, 977, 319192380
861, 976, 319194164
858, 975, 319195948
857, 974, 319197736
855, 973, 319199520
853, 972, 319201304
853, 972, 319203088
852, 976, 319204876
851, 979, 319206660
850, 983, 319208444
849, 984, 319210228
851, 981, 319212016
851, 980, 319213800
852, 978, 319215584
852, 978, 319217368
854, 978, 319219156
855, 979, 319220940
853, 979, 319222724
856, 980, 319224508
856, 981, 319226296
854, 980, 319228080
858, 981, 319229864
858, 980, 319231648
858, 980, 319233436
856, 980, 319235220
857, 980, 319237004
858, 980, 319238788
857, 980, 319240576
858, 980, 319242360
856, 980, 319244144
858, 980, 319245928
858, 980, 319247716
858, 981, 319249500
857, 981, 319251284
858, 981, 319253068
857, 982, 319254856
857, 981, 319256640
857, 980, 319258424
857, 979, 319260208
858, 980, 319261996
856, 980, 319263780
856, 979, 319265564
855, 978, 319267348
855, 978, 319269136
855, 977, 319270924
855, 976, 319272704
856, 976, 319274488
856, 974, 319276276
856, 975, 319278060
851, 973, 319279844
854, 972, 319281628
852, 972, 319283416
851, 972, 319285200
850, 972, 319286984
